HASH, NAME
5F430A73836C1E48136B4F65,administrative unit
5F430A73836C1E48136B4F67,agricultural landscape
5F430A73836C1E48136B4F64,abandoned place
5F430A73836C1E48136B4F66,agricultural building
5F430A73836C1E48136B4F69,animal husbandry
5F430A73836C1E48136B4F6C,avian
5F430A74836C1E48136B4F6E,barn
5F430A73836C1E48136B4F6B,assembly site
5F430A73836C1E48136B4F68,animal
5F430A73836C1E48136B4F6A,aquatics
5F430A74836C1E48136B4F6D,baleen
5F430A74836C1E48136B4F6F,beach
5F430A74836C1E48136B4F72,boat
5F430A74836C1E48136B4F74,bone with marrow removed
5F430A74836C1E48136B4F77,built environment
5F430A74836C1E48136B4F79,business
5F430A74836C1E48136B4F70,beached whale
5F430A74836C1E48136B4F73,bone
5F430A74836C1E48136B4F71,bishops church
5F430A74836C1E48136B4F75,bone with meat removed
5F430A74836C1E48136B4F7A,butchery
5F430A74836C1E48136B4F78,burial
5F430A74836C1E48136B4F76,building
5F430A74836C1E48136B4F7C,calm
5F430A74836C1E48136B4F7B,byre
5F430A74836C1E48136B4F81,cemetery
5F430A74836C1E48136B4F7D,caribou
5F430A74836C1E48136B4F7E,carrion
5F430A74836C1E48136B4F82,ceramic vessel
5F430A74836C1E48136B4F86,church farm
5F430A74836C1E48136B4F87,coastal ocean
5F430A74836C1E48136B4F80,cattle skin
5F430A74836C1E48136B4F8B,coniferous unmanaged forest
5F430A74836C1E48136B4F8C,consumption
5F430A74836C1E48136B4F85,chicken
5F430A74836C1E48136B4F7F,cattle bone
5F430A74836C1E48136B4F83,charcoal pit
5F430A74836C1E48136B4F8A,coniferous trees
5F430A74836C1E48136B4F88,commons
5F430A74836C1E48136B4F89,communal building
5F430A74836C1E48136B4F8D,coop
5F430A74836C1E48136B4F8E,cow
5F430A74836C1E48136B4F91,cursed spot
5F430A74836C1E48136B4F90,cultivation  farming
5F430A74836C1E48136B4F8F,crops
5F430A74836C1E48136B4F93,deciduous trees
5F430A74836C1E48136B4F94,deciduous unmanaged forest
5F430A74836C1E48136B4F98,disturbed or arable
5F430A74836C1E48136B4F99,dog
5F430A74836C1E48136B4F9D,dry dead wood
